time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,3,"[1839645, 2997570, 30606887]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[2997570, 30606887]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[2997570, 13473576, 30606887, 65553080]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[2997570, 30606887]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[26463, 2997570, 30606887]",2,"[2997570, 30606887]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[2997570, 30606887]",2,"[2997570, 30606887]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1839645, 30606887, 65553080]",1,[30606887],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[1839645, 30606887]",1,[30606887],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[2997570, 22429695, 30606887]",1,[30606887],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[30606887],1,[30606887],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[2997570, 30606887, 65553080]",1,[30606887],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2997570],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[2997570, 22429695, 22773387, 30606887, 49699333]",2,"[2997570, 30606887]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[2997570],0,[],0,[],2,
