time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,5,"[46956, 640955, 12940387, 14225800, 18006037]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[640955, 18006037]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[46956, 640955, 856651, 18006037]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[46956],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[46956, 3173685, 18006037]",2,"[46956, 18006037]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[46956, 18006037]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[46956, 856651, 18006037]",2,"[46956, 18006037]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[46956, 18006037]",1,[46956],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[46956, 856651, 18006037]",2,"[46956, 18006037]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[46956, 856651]",1,[46956],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[46956, 856651, 18006037]",3,"[46956, 856651, 18006037]",1,[46956],,3
2018-07,z_thresh,3,degree_centrality_z,1,[18006037],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[856651, 987643, 34724492, 41516771]",1,[856651],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[856651],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[856651, 3721588, 6923843]",1,[856651],1,[856651],,3
2019-07,z_thresh,3,degree_centrality_z,1,[856651],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[9636784, 19796896, 29254740, 51049448, 59611842, 64037673]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[64037673],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[14222013, 53560665, 64037673]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[64037673],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[9354728, 13101678, 31637494]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[9354728],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[137616, 3972343, 9354728]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[137616],0,[],0,[],2,
