time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,4,"[3350366, 6422482, 15379976, 29761828]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[6422482, 15379976]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[6422482, 29761828, 41027584]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[29761828],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6422482, 29761828, 37903003]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[3190178, 3308802, 6422482, 29761828, 37903003, 38481402]",2,"[6422482, 29761828]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[3308802, 29761828]",0,[],0,[],2,
