time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[2087546, 6415258, 6422482, 36495476]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[6415258, 6422482]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[699682, 4595492, 6422482, 28682908]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[699682, 1381301, 4595492, 6415258, 6422482, 17794938, 30610049]",1,[6422482],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[699682, 3482644, 6422482]",2,"[699682, 6422482]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[699682, 6422482, 13458796, 20379547]",2,"[699682, 6422482]",1,[699682],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6422482, 23490897, 32556631]",1,[6422482],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
