time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,6,"[726875, 1416085, 5862289, 7457419, 12013210, 17742896]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[726875],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[726875, 5862289, 40047636]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[726875],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[726875, 5862289, 16955684, 40047636]",2,"[726875, 5862289]",1,[5862289],,3
2019-01,z_thresh,3,degree_centrality_z,1,[726875],1,[726875],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[726875, 9091958, 14915828, 33163448, 40047636]",2,"[726875, 40047636]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[726875],1,[726875],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[726875, 5339018, 11381298, 16955684, 29762973, 36164960, 54050726]",1,[726875],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[726875],1,[726875],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[726875, 40047636, 62590353]",1,[726875],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[40047636],0,[],0,[],2,
