time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[173290, 216485, 14089968]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[173290],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[173290, 14089968, 18366226]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[173290],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[173290, 14089968, 18366226, 26275910]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[173290, 14089968]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[2984944, 14089968, 18366226, 33486005]",2,"[14089968, 18366226]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[14089968],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[173290, 911174, 979078, 14089968, 18366226, 33486005, 49699333]",2,"[14089968, 18366226]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[14089968],1,[14089968],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[173290, 979078, 14089968]",1,[14089968],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[14089968],1,[14089968],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[829698, 979078, 14089968, 30565750]",2,"[979078, 14089968]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[14089968],1,[14089968],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[979078, 9491603, 14089968, 66853113]",2,"[979078, 14089968]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[979078, 14089968]",1,[14089968],0,[],2,
2025-01,top_k,3,degree_centrality_z,9,"[22429, 829698, 979078, 14089968, 18366226, 22979684, 49699333, 65724737, 66853113]",2,"[979078, 14089968]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[14089968],1,[14089968],0,[],2,
