time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[378835, 2196582, 5514990, 8655789]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,4,"[378835, 2196582, 5514990, 8655789]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[134025, 166637, 1169974]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1169974],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[134025, 497895, 17658468, 29311855, 37386938, 68371874]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[134025],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[166637, 1997940, 28762146]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[166637, 1997940, 28762146]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[134025, 1997940, 5514990, 12074604]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[5514990],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[166637, 49699333, 65553080]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[49699333],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[9046931, 16695794, 22496337, 49699333, 65553080]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[16695794],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[166637, 7258858, 7769215, 43905002]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[166637, 43905002]",0,[],0,[],2,
