time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[1168046, 1448621, 6422482]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1168046, 1276867, 6422482]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1168046, 1276867, 6422482]",2,"[1168046, 6422482]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[1276867, 6422482]",1,[6422482],0,[],2,
2018-07,top_k,3,degree_centrality_z,7,"[27792, 987837, 1168046, 1276867, 4340327, 6422482, 43870838]",3,"[1168046, 1276867, 6422482]",1,[1168046],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[1276867, 6422482]",1,[6422482],0,[],2,
2019-01,top_k,3,degree_centrality_z,6,"[425059, 662606, 1276867, 5674597, 6422482, 6867996]",2,"[1276867, 6422482]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[1276867, 6422482]",2,"[1276867, 6422482]",0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[425059, 1276867, 3880334, 6422482, 14957047]",2,"[1276867, 6422482]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[6422482, 13446197, 33365560]",1,[6422482],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[328602, 1276867, 6422482]",1,[6422482],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[1276867, 1735589, 8938339, 26461855]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1276867],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1276867, 7688337, 54267595]",1,[1276867],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1276867],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[425059, 1276867, 19650074]",1,[1276867],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1276867],1,[1276867],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1276867, 19650074, 34622095]",1,[1276867],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1276867],1,[1276867],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1276867, 19650074, 34622095]",2,"[1276867, 19650074]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1276867],1,[1276867],0,[],2,
