time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,4,"[7396, 363802, 375744, 20571111]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[7396],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[7396, 375744, 1513265, 5446909]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[7396],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[7396, 67560, 1002461, 1433023, 9503662]",1,[7396],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[7396],1,[7396],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[7396, 363802, 1433023]",1,[7396],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1433023],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[7396, 1120468, 1433023]",2,"[7396, 1433023]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[7396],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[7396, 1120468, 1433023, 16139407]",2,"[7396, 1433023]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[7396],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[7396, 1120468, 1433023]",3,"[7396, 1120468, 1433023]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1433023],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[580492, 1433023, 1523305]",1,[1433023],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1523305],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[768639, 1433023, 1523305]",1,[1433023],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1523305],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[126780, 1433023, 1523305, 1633368, 4661784]",2,"[1433023, 1523305]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1523305],1,[1523305],0,[],2,
2021-07,top_k,3,degree_centrality_z,9,"[7396, 133575, 146720, 580492, 680198, 1523305, 1633368, 5597345, 22325136]",1,[1523305],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1523305],1,[1523305],0,[],2,
2022-01,top_k,3,degree_centrality_z,9,"[580492, 1433023, 1523305, 5600892, 9878458, 25588019, 41898282, 49699333, 62536400]",1,[1523305],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1523305],1,[1523305],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[580492, 1523305, 41898282]",2,"[580492, 1523305]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1523305],1,[1523305],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[7396, 580492, 1523305, 7622248]",2,"[580492, 1523305]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[1523305, 7622248]",1,[1523305],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1523305, 7622248, 8118419]",1,[1523305],1,[1523305],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[7622248, 8118419]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[580492, 1421724, 7622248, 7881302, 8118419]",1,[7622248],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[7881302],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[7622248, 7881302, 8118419, 33237075]",2,"[7622248, 8118419]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[7881302],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[126780, 7622248, 7881302]",2,"[7622248, 7881302]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[7881302],1,[7881302],0,[],2,
