time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,3,"[234957, 868301, 5384588]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,5,"[110953, 234957, 409615, 868301, 5384588]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[409615, 868301, 5384588]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,3,"[409615, 868301, 5384588]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[409615, 868301, 5384588]",2,"[868301, 5384588]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,4,"[409615, 868301, 1185269, 5384588]",3,"[409615, 868301, 5384588]",0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[868301, 5384588, 17074021]",2,"[868301, 5384588]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[868301, 5384588]",2,"[868301, 5384588]",0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[868301, 8349587, 20384210, 34226000]",1,[868301],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[868301],1,[868301],0,[],2,
2018-01,top_k,3,degree_centrality_z,8,"[110953, 421950, 868301, 2216553, 5384588, 8449639, 11258252, 29631578]",1,[868301],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[421950, 5384588]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[868301, 1212885, 5384588, 12889320, 31477944]",1,[868301],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5384588],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[83754, 3977620, 5384588, 37070852, 43761908]",1,[5384588],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[5384588],1,[5384588],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[5384588, 17503685, 25264551]",1,[5384588],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[5384588],1,[5384588],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[868301, 5384588, 26923503, 60627787]",1,[5384588],1,[5384588],,3
2020-01,z_thresh,3,degree_centrality_z,1,[5384588],1,[5384588],1,[5384588],2,
2020-07,top_k,3,degree_centrality_z,8,"[1469823, 26662802, 55858104, 62704414, 65615199, 69955601, 72165816, 74144918]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[55858104],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[868301, 17596607, 42249391, 51878265, 55858104]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[55858104],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[16071840, 17596607, 17905582, 51878265, 84667136]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[17905582],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[43811164, 55858104, 74007674, 101478591, 106296670]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[55858104],0,[],0,[],2,
