time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,5,"[200527, 3970574, 7039785, 9260483, 17119257]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[9260483],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[1199175, 4759896, 5384588, 7039785]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[7039785],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[6739247, 7039785, 13085330]",1,[7039785],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[6739247],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,5,"[938089, 1175880, 9260483, 13085330, 15687319]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[13085330],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[899716, 1055830, 1199175, 10042604, 37634573]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1199175],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[7039785, 9260483, 10319728]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[10319728],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[738925, 7039785, 13085330, 18411102]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[13085330],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[767016, 5384588, 13085330, 18411102, 34102638]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[13085330],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,9,"[96414, 899716, 8242942, 18411102, 20236316, 20600296, 38406045, 48009453, 50087640]",1,[18411102],1,[18411102],,3
2020-07,z_thresh,3,degree_centrality_z,1,[96414],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[767016, 7039785, 9260483, 13085330]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[13085330],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[13085330, 29949054, 82467450]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[82467450],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[13085330, 18662258, 47933510, 50647208, 82467450, 106156676]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[13085330, 50647208]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[5103073, 7994192, 13085330]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,3,"[5103073, 7994192, 13085330]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,15,"[767016, 6796247, 7039785, 7994192, 10339934, 11049792, 13085330, 15225059, 18428970, 50647208, 56732262, 60697113, 82467450, 86464954, 139997828]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[13085330],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[7039785, 13085330, 38406045, 55858104, 56732262, 129054009, 139997828]",1,[13085330],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[13085330],1,[13085330],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[9260483, 13085330, 38406045, 187715037]",1,[13085330],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[13085330],1,[13085330],0,[],2,
