time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,4,"[247555, 772727, 5184014, 44816363]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[247555],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[247555, 5184014, 25180681]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[247555],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[247555, 5184014, 7291104, 55107282]",2,"[247555, 5184014]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5184014],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[247555, 960486, 5184014, 7291104, 25180681, 55107282, 59032223, 89048422]",2,"[247555, 5184014]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[247555, 7291104]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[5184014, 7291104, 12806577, 78513119]",2,"[5184014, 7291104]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[5184014],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[5184014, 7291104, 12806577]",2,"[5184014, 7291104]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[12806577],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[247555, 5184014, 7291104, 12806577, 55107282]",3,"[5184014, 7291104, 12806577]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[247555, 12806577]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[7291104, 12806577, 55107282, 124939984]",2,"[7291104, 12806577]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[7291104, 12806577]",1,[12806577],0,[],2,
