time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,4,"[142891, 261579, 988758, 1250894]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1250894],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[142891, 988758, 6939968]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[988758, 6939968]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1527880, 6939968, 13322623]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[1527880, 6939968]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[93914, 142891, 1923747, 4249591, 6939968]",1,[6939968],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[142891, 2119742, 6939968, 13322623]",1,[6939968],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[142891, 1271897, 6939968, 35570153]",2,"[142891, 6939968]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[174660, 380829, 4249591, 6939968]",1,[6939968],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[380829, 6939968]",1,[6939968],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[142891, 380829, 6939968]",1,[6939968],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[380829, 6939968]",1,[6939968],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[380829, 519108, 6939968, 11257204]",2,"[380829, 6939968]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[380829, 6939968]",2,"[380829, 6939968]",0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[106728, 380829, 6939968, 11257204]",2,"[380829, 6939968]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[380829, 6939968]",2,"[380829, 6939968]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[106728, 1923747, 6939968]",1,[6939968],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[93914, 4249591, 6939968]",1,[6939968],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[106728, 380829, 6939968]",1,[6939968],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[93914, 106728, 1755590, 6939968, 45946693]",1,[6939968],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[380829, 1190358, 6939968]",1,[6939968],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[106728, 380829, 6939968, 45946693]",1,[6939968],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[106728, 6939968, 45946693]",1,[6939968],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[142891, 420008, 3330916, 6939968]",1,[6939968],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[6939968],1,[6939968],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[93914, 106728, 3185950, 6939968, 12752088]",1,[6939968],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[93914],0,[],0,[],2,
