time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,3,"[453543, 65553080, 67902897]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[453543],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,7,"[453543, 2262740, 2703260, 5499769, 9417309, 22429695, 46026844]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[453543],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[453543, 8133389, 22429695, 49699333, 67902897, 118492429]",1,[453543],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[453543],1,[453543],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[294617, 453543, 3857748, 6281632, 12112371, 22429695]",2,"[453543, 22429695]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[453543],1,[453543],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[226507, 453543, 22429695]",2,"[453543, 22429695]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[453543],1,[453543],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[226507, 453543, 22429695]",2,"[453543, 22429695]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[453543],1,[453543],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[453543, 1395617, 22429695, 43643716, 67902897]",2,"[453543, 22429695]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[453543],1,[453543],0,[],2,
