time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[2354108, 7492909, 12800016, 17834419]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[17834419],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[2354108, 17834419, 29893016]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[17834419, 29893016]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[2354108, 7492909, 17834419, 29893016]",2,"[2354108, 17834419]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[2354108, 17834419, 29352269, 29893016]",3,"[2354108, 17834419, 29893016]",1,[2354108],,3
2019-07,z_thresh,3,degree_centrality_z,1,[17834419],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[12800016, 17834419, 29352269, 29893016, 49699333]",2,"[17834419, 29893016]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[17834419],0,[],0,[],2,
