time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[998215, 1917747, 5326890]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[5326890],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[2542323, 2877274, 5326890, 7865648]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[5326890],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[2542323, 3369091, 5326890, 6743524]",1,[5326890],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[4729088, 5326890, 7088330]",1,[5326890],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[5326890, 16183080, 22093949]",1,[5326890],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[5326890, 18213373, 22093949]",1,[5326890],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[5326890, 22093949]",1,[5326890],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[5326890, 18213373, 22093949]",2,"[5326890, 22093949]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[1460308, 5326890, 18213373, 38243755]",2,"[5326890, 18213373]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[5326890, 15951188, 18213373]",2,"[5326890, 18213373]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[1460308, 5326890, 13550295, 28124722]",1,[5326890],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[4216113, 5326890, 20626234, 24848935, 30295895, 33421641, 45291654]",1,[5326890],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[2714635, 5326890, 8587572, 19466330, 33540791, 48716354, 71613703]",1,[5326890],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2021-01,top_k,3,degree_centrality_z,7,"[5326890, 9876526, 11193629, 22075030, 25348406, 28045074, 71613703]",1,[5326890],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2021-07,top_k,3,degree_centrality_z,36,"[271116, 1992251, 3365153, 5242184, 5326890, 5345388, 5391552, 9695072, 10258209, 13550295, 13651873, 15228295, 16161025, 17509092, 18402347, 20371203, 23054573, 24631388, 25661058, 25762678, 25996678, 31954765, 32088255, 32168493, 33809201, 35098797, 41079986, 46311448, 46446628, 47302112, 54925248, 56599784, 66783179, 87740559, 88588030, 92214503]",1,[5326890],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[5292190, 5326890, 10105704, 37246260, 71613703]",1,[5326890],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[5326890, 44603408, 46513782, 69838548, 109060333]",1,[5326890],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5326890, 19729276, 71613703]",1,[5326890],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2023-07,top_k,3,degree_centrality_z,8,"[758325, 5326890, 22394085, 23247276, 24367783, 33287603, 49635345, 109515102]",1,[5326890],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1414826, 5326890, 86652298, 103734834]",1,[5326890],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[5326890, 28425091, 102969381]",1,[5326890],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
2025-01,top_k,3,degree_centrality_z,13,"[1741341, 2276015, 3960787, 5326890, 7655276, 29749635, 30597946, 32951559, 44344942, 57279077, 58424633, 123958419, 199572225]",1,[5326890],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5326890],1,[5326890],0,[],2,
