time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,3,"[71315, 769730, 13108583]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[769730],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[769730, 857609, 4659834]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[857609],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[71315, 667029, 769730]",1,[769730],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[769730],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[667029, 769730, 781059, 1324225, 10530729, 19315670]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[769730, 10530729]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[769730, 781059, 3586246, 3956745, 5960634, 10530729]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[769730],0,[],0,[],2,
