time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,8,"[21099, 240830, 305268, 326885, 544400, 966877, 2354108, 2865947]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[240830, 326885, 890812, 2098564]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[326885],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[326885, 2354108, 2420688]",1,[326885],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[326885],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[240830, 326885, 2354108]",1,[326885],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[326885, 578557, 2354108, 10860015]",2,"[326885, 2354108]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[326885, 2354108]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[240830, 326885, 2354108]",2,"[326885, 2354108]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[23887, 203572, 326885, 2354108]",2,"[326885, 2354108]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[235410, 326885, 2354108]",2,"[326885, 2354108]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[326885],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,9,"[326885, 439806, 610876, 2033598, 2354108, 7126670, 7978161, 17478781, 21152070]",2,"[326885, 2354108]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[326885],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[326885, 714283, 2354108, 2725205, 3168152]",2,"[326885, 2354108]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[326885],1,[326885],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[326885, 462802, 8129788, 23411333, 24627793, 29612423, 42730922, 62624887]",1,[326885],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[326885],1,[326885],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[326885, 8655789, 20405311]",1,[326885],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[326885],1,[326885],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[326885, 2033598, 8655789, 65553080]",1,[326885],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[326885],1,[326885],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2033598, 41898282, 47358913]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,4,"[2033598, 41898282, 47358913, 65553080]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[326885, 47358913, 65553080]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[47358913, 65553080]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[326885, 47873678, 56681071, 65553080]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[65553080],1,[65553080],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[326885, 23703632, 65553080]",2,"[326885, 65553080]",1,[326885],,3
2023-01,z_thresh,3,degree_centrality_z,1,[326885],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[26306108, 28479139, 47724762]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[26306108],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[1784648, 6200749, 9326700, 26306108, 28479139]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6200749],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[50637, 314607, 1784648, 49699333, 86469309, 142018717, 165431870]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[165431870],0,[],0,[],2,
