time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,3,"[15092, 27057, 1139871]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1139871],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[27057, 49721, 1139871]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[27057],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[12291, 27057, 34498, 1139871]",2,"[27057, 1139871]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[27057],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,7,"[12291, 27057, 170910, 1324225, 1427969, 2637305, 9799401]",1,[27057],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[27057, 418168, 1139871, 22429695]",1,[27057],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[27057, 34498, 1139871, 22429695]",1,[27057],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[27057, 4623536, 22429695]",2,"[27057, 22429695]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[27057, 10370863, 22429695, 54158304]",2,"[27057, 22429695]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2020-01,top_k,3,degree_centrality_z,10,"[27057, 63956, 1236687, 2363820, 2401856, 2429141, 4356899, 8822365, 22429695, 31673133]",2,"[27057, 22429695]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[27057, 5524708, 5635139, 22429695]",2,"[27057, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[27057, 41397, 22429695]",2,"[27057, 22429695]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[27057, 110765, 625793, 2189030, 22429695, 31284574]",2,"[27057, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[27057, 2647070, 22429695]",2,"[27057, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[27057, 184952, 4157902, 22429695, 28374935, 47873678]",2,"[27057, 22429695]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[27057, 18632233, 22429695, 22956822, 31284574]",2,"[27057, 22429695]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[27057],1,[27057],0,[],2,
