time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[31803608, 34387011, 37149302, 39652142]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[39652142],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[39652142, 46050967, 56863561]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[39652142],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[39652142, 50922489, 62805286, 74656537]",1,[39652142],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[39652142],1,[39652142],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[39652142, 42648639, 57052600, 96647698]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[39652142, 96647698]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[14357890, 39652142, 122717612]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[39652142],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2049889, 10733836, 39652142]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[39652142],0,[],0,[],2,
