time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,4,"[1150002, 3160562, 3495045, 7004340]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[3160562],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[11292, 128223, 14971852]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[14971852],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,7,"[4977124, 6139848, 11265811, 13583487, 14305513, 14971852, 28760548]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[14971852],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,5,"[505364, 5435299, 11782093, 14971852, 33757853]",1,[14971852],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[505364, 14971852]",1,[14971852],0,[],2,
2018-07,top_k,3,degree_centrality_z,10,"[680244, 837632, 1631395, 6757634, 7469956, 9419362, 11782093, 14971852, 44181172, 44236577]",1,[14971852],1,[14971852],,3
2018-07,z_thresh,3,degree_centrality_z,1,[7469956],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[7469956, 8812922, 25054690]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[7469956],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[13583487, 29918466, 31297443, 51153099]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[29918466],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,8,"[8414748, 10585873, 29918466, 47881649, 51153099, 53298017, 60747659, 61724250]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[51153099],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[11378266, 25585825, 51153099, 56666426]",1,[51153099],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[51153099],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[29918466, 51153099, 80347104]",1,[51153099],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[51153099],1,[51153099],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[11818648, 12560027, 51153099]",1,[51153099],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[51153099],1,[51153099],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[11818648, 24688087, 51153099, 57900005]",1,[51153099],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[57900005],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[11818648, 95407446, 115510079]",1,[11818648],1,[11818648],,3
2023-01,z_thresh,3,degree_centrality_z,1,[95407446],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[11782093, 15894006, 16463458, 23413836, 61699304, 95407446]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[95407446],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[57199, 28331593, 77733175, 95407446]",1,[95407446],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[95407446],1,[95407446],0,[],2,
