time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[16389167, 30625432, 43144390]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[30625432],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[16389167, 30625432, 43144390, 52322531]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[43144390, 52322531]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[16389167, 30625432, 52322531]",2,"[16389167, 30625432]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[30625432],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[16389167, 17424778, 22429695, 30625432, 51958314, 75250316]",2,"[16389167, 30625432]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[16389167],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[30625432, 53101764, 58381523]",1,[30625432],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[30625432],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[15208659, 25738453, 30625432, 60684641, 69247026]",1,[30625432],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[30625432],0,[],0,[],2,
