time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[151929, 327925, 1621788]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[327925],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,6,"[151929, 327925, 335567, 557579, 1686212, 1936730]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[327925, 335567]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,6,"[151929, 327925, 335567, 383090, 1322974, 3098670]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[327925],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[327925, 609896, 3090462]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[327925],0,[],0,[],2,
