time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[2016449, 6318931, 36954873]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[520851, 4480397, 6318931, 12047221, 25595284, 38427573, 39569009, 47213889]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[5541602, 6318931, 7908073, 23052471, 33802211]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[609830, 6318931, 8373509, 9815742, 38427573]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[609830],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6318931, 23053094, 50383939]",1,[6318931],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[5186647, 6318931, 7908073, 19276633]",1,[6318931],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[6318931, 19276633]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[4107631, 5186647, 6318931]",1,[6318931],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[4107631],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[4107631, 6318931, 17219379, 19276633, 22429695, 97916921]",1,[6318931],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1020496, 6318931, 10407788, 22429695]",1,[6318931],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6318931],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[6318931, 16021952, 22429695]",2,"[6318931, 22429695]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[6318931],1,[6318931],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[1886047, 6318931, 22429695, 38694779]",2,"[6318931, 22429695]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6318931],1,[6318931],0,[],2,
