time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,4,"[5367102, 18718008, 36171005, 65553080]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[36171005],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[18718008, 36171005, 65553080]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[18718008, 65553080]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[142362, 5367102, 29139614, 36171005, 65553080]",2,"[36171005, 65553080]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[36171005],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[5367102, 36171005, 65553080]",2,"[36171005, 65553080]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[36171005],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[3659196, 18718008, 65553080]",1,[65553080],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[18718008, 65553080]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[18718008, 37993418, 41898282, 49699333, 66853113]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[37993418],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[3659196, 29139614, 36171005, 65553080]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[3659196, 36171005]",0,[],0,[],2,
