time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,3,"[158568, 291575, 7458697]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,7,"[826, 56908, 76750, 158568, 192820, 2354108, 2670332]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,13,"[158568, 192820, 232917, 271906, 374719, 1210650, 1637068, 2354108, 2670332, 4619659, 4755701, 6075379, 8655789]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[158568, 271906, 7647594, 8059750, 8095156]",1,[158568],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[158568],1,[158568],0,[],2,
2018-01,top_k,3,degree_centrality_z,8,"[78846, 110765, 144717, 158568, 956109, 7647594, 8995328, 26881569]",1,[158568],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[158568],1,[158568],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[158568, 198999, 2942065]",1,[158568],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[158568],1,[158568],0,[],2,
2019-01,top_k,3,degree_centrality_z,12,"[78846, 158568, 198999, 278467, 284103, 690238, 3275593, 3354242, 3994488, 7923787, 8995328, 39400458]",1,[158568],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[158568],1,[158568],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[1610, 158568, 413772, 52716203]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[158568, 7754936, 22334384]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[158568, 960340, 1324225, 17123554, 58929531, 96722107]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[158568, 960340, 4429956]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[158568],0,[],0,[],2,
