time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[107598, 305268, 1244223]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[1244223],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[305268, 669730, 1244223]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1244223],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,5,"[260107, 923865, 1244223, 4750458, 8480230]",1,[1244223],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1244223],1,[1244223],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[29048, 240830, 305268, 1244223, 13592926]",1,[1244223],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1244223],1,[1244223],0,[],2,
2017-01,top_k,3,degree_centrality_z,8,"[717820, 1132055, 1244223, 2844162, 5149945, 7673963, 9437863, 11767353]",1,[1244223],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1244223],1,[1244223],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1244223, 6096029, 7673963]",1,[1244223],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[1244223],1,[1244223],0,[],2,
2018-01,top_k,3,degree_centrality_z,7,"[69960, 472427, 1244223, 5847863, 7673963, 11979920, 16780520]",2,"[1244223, 7673963]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1244223],1,[1244223],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[536652, 1173038, 1244223, 27953063, 49675743]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1244223],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1173038, 1244223, 18334704]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[1173038, 1244223, 18334704]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[1073326, 7673963, 7845120, 11231241, 14038418]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[14038418],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[8750041, 10440503, 33327979]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[8750041, 10440503, 33327979]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[1186084, 4149694, 7673963, 8750041, 10440503, 33327979]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[1186084, 33327979]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[6786239, 33327979, 80222180]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[33327979],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[548715, 5525771, 9358055]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[548715, 5525771, 9358055]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5525771, 12421874, 33327979]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[5525771, 12421874, 33327979]",0,[],0,[],2,
