time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,4,"[4840059, 7451106, 9464825, 11788150]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[7451106, 9464825]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[8425513, 9464825, 11788150, 15977946, 17546446]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[9464825],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[4840059, 11788150, 15977946, 16019484, 21303438, 36881814]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[11788150],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[11788150, 83828562, 98327191]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[11788150],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[5512671, 6675724, 11788150, 36918764, 124576571]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[11788150],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[97630, 22726959, 36654248, 40078051, 51914102]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,5,"[97630, 22726959, 36654248, 40078051, 51914102]",0,[],0,[],2,
