time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,6,"[10644399, 12154190, 15002576, 24454966, 36224762, 59233975]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[12154190],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[824507, 10224074, 11522213, 12154190, 31591780, 33908456, 59233975]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[12154190],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[6193135, 6265489, 6579711, 10101468, 12154190, 118444583]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[12154190],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[6300973, 12154190, 24460581, 118444583]",1,[12154190],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[12154190],1,[12154190],0,[],2,
2023-07,top_k,3,degree_centrality_z,12,"[710699, 1714524, 5981889, 12154190, 13838845, 38041948, 41792945, 48638337, 53263858, 54762742, 62546709, 140501091]",1,[12154190],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[12154190],1,[12154190],0,[],2,
2024-01,top_k,3,degree_centrality_z,23,"[81476, 103048, 1009873, 1100776, 5981889, 6193135, 12154190, 13838845, 15003208, 20332455, 24435787, 33118185, 37672247, 42881610, 48638337, 53263858, 54762742, 73499939, 82941044, 90713156, 93367850, 118444583, 123664421]",1,[12154190],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[12154190],1,[12154190],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[26695, 54129, 5504075, 12154190, 18093975, 82941044]",1,[12154190],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[12154190],1,[12154190],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[54129, 4933582, 12154190, 42085783, 69437810, 83461300]",1,[12154190],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[12154190],1,[12154190],0,[],2,
