time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,8,"[224219, 643002, 963909, 1132472, 1174938, 3627835, 4761235, 5873296]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[1132472],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[147067, 845809, 1132472, 4973435, 5571650, 12114238]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1132472],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,9,"[136036, 1132472, 1593486, 1676312, 3929466, 5997302, 7254965, 8527168, 16954614]",1,[1132472],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2016-07,top_k,3,degree_centrality_z,7,"[1132472, 1593486, 3334205, 4319330, 12114238, 17825670, 18388014]",1,[1132472],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[484974, 1132472, 1585431, 1593486, 4708504]",2,"[1132472, 1593486]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[1132472, 1593486, 4708504, 5583672, 34404340]",2,"[1132472, 1593486]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2018-01,top_k,3,degree_centrality_z,6,"[76330, 109278, 493669, 525832, 1132472, 1593486]",2,"[1132472, 1593486]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[94491, 931919, 1132472, 1593486, 7839615]",2,"[1132472, 1593486]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[635179, 1132472, 1593486]",2,"[1132472, 1593486]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[635179, 1132472, 2491495, 56186131]",1,[1132472],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2020-01,top_k,3,degree_centrality_z,11,"[94491, 204153, 459400, 643002, 1132472, 1593486, 8353629, 23511520, 25152803, 38059171, 40589021]",1,[1132472],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[30027, 264454, 634075, 1132472, 1661112, 7031489, 24963373]",1,[1132472],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[212972, 459400, 635179, 1132472, 1838656]",1,[1132472],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[212972],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,8,"[94491, 210587, 212972, 635179, 1132472, 31467653, 60236923, 67746828]",1,[1132472],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1132472],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[212972, 1132472, 38059171]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1132472],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[212972, 291554, 635179, 1132472, 12869082, 26185187, 58372011]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1132472],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[264454, 635179, 1132472, 3709715, 4178542, 38301204]",1,[1132472],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[212972, 264454, 291554, 635179, 1132472]",2,"[635179, 1132472]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1132472],1,[1132472],0,[],2,
