time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[1047165, 9453067, 16623935, 20600565]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[9453067],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 33595554]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[9453067, 33595554]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 41898282]",1,[9453067],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[9453067],1,[9453067],0,[],2,
2021-01,top_k,3,degree_centrality_z,8,"[1548809, 4383304, 6898909, 9453067, 11785821, 14217083, 20600565, 49699333]",2,"[4383304, 9453067]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[9453067],1,[9453067],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[1548809, 4383304, 9453067, 26384082]",2,"[4383304, 9453067]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[4383304],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[4281902, 4383304, 9453067, 42982186, 49699333]",2,"[4383304, 9453067]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[9453067],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 49699333]",2,"[4383304, 9453067]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[4383304],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 29139614]",2,"[4383304, 9453067]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[4383304, 9453067]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[4383304, 6898909, 9453067, 29139614]",2,"[4383304, 9453067]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[4383304],1,[4383304],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 29139614]",3,"[4383304, 9453067, 29139614]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[4383304],1,[4383304],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[165549, 958417, 2401996, 4383304, 7488840, 9453067, 20600565, 29139614]",3,"[4383304, 9453067, 29139614]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[4383304],1,[4383304],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[4383304, 9453067, 29139614]",3,"[4383304, 9453067, 29139614]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[4383304],1,[4383304],0,[],2,
