time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,3,"[73973, 2397974, 5802467]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2397974],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[25432, 192614, 591645, 2397974, 8435071]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[2397974],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[591645, 2397974, 3254369, 21197331]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2397974],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[192614, 954408, 15164633]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[192614],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[82988, 192614, 1078000, 8435071, 10111092]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[82988, 10111092]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[192614, 10111092, 21197331]",1,[192614],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[10111092],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[168568, 2397974, 5832902]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[168568],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[192614, 346587, 1147167]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[346587, 1147167]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[510760, 5832902, 9403332]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[5832902],0,[],0,[],2,
