time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,3,"[1336287, 16404204, 17420240]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[17420240],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[72776, 17420240, 22786183, 22935226, 28976199]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[17420240],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[17420240, 40209326, 49699333]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[17420240],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[7117512, 17420240, 24465356, 32386694, 40209326, 49699333]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[17420240],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[17420240, 40209326, 49699333]",3,"[17420240, 40209326, 49699333]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[49699333],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,9,"[244656, 316517, 5261489, 17420240, 40209326, 49232747, 49699333, 76186054, 90249218]",3,"[17420240, 40209326, 49699333]",1,[17420240],,3
2023-07,z_thresh,3,degree_centrality_z,1,[40209326],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,8,"[1858646, 10676434, 40209326, 42495727, 49699333, 73139402, 127942625, 145684449]",2,"[40209326, 49699333]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[49699333, 127942625]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[244656, 9283470, 40209326, 47847569, 49699333, 68698485, 105263271]",2,"[40209326, 49699333]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[40209326],0,[],0,[],2,
