time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,5,"[6942231, 8461115, 12654661, 17414903, 35102877]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[8461115],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,9,"[4077400, 4805134, 5738744, 6586543, 8461115, 10982046, 35529931, 47305925, 56240329]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[8461115],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[5749838, 8461115, 8894643, 14293802, 37475442, 48743965, 77342203, 128017803]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[8461115],0,[],0,[],2,
