time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,6,"[142883, 154163, 290471, 1573352, 1940726, 5906074]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[5906074],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[975964, 5906074, 6514550, 22404958]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5906074],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[5906074, 7439971, 22404958]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[22404958],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[5906074, 6514550, 13772726, 25781017, 35579662]",1,[5906074],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[5906074],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[5906074, 7862359, 14060847, 32413980]",1,[5906074],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[5906074, 14060847]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,10,"[125415, 212013, 2448058, 3736380, 5906074, 14174584, 17966876, 20531347, 23551503, 58389054]",1,[5906074],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[5906074],1,[5906074],0,[],2,
