time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[630670, 878107, 22429695]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[630670],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[432263, 630670, 878107, 22429695, 31832018]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[104090, 630670, 878107, 1140844, 9960249, 22429695]",3,"[630670, 878107, 22429695]",1,[878107],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[630670, 22429695]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[630670, 20100586, 22429695, 43144390]",2,"[630670, 22429695]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[630670, 22429695, 52013991]",2,"[630670, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[630670, 8686371, 11155300, 20100586, 22429695, 43144390]",2,"[630670, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2022-07,top_k,3,degree_centrality_z,10,"[146477, 433696, 630670, 2197096, 5070148, 22429695, 32072144, 41860443, 85549650, 98811666]",2,"[630670, 22429695]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[630670, 22429695]",1,[22429695],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[630670, 22429695, 62310815]",2,"[630670, 22429695]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[630670],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[630670, 22429695, 117304815]",2,"[630670, 22429695]",1,[22429695],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[630670, 22429695]",1,[630670],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[630670, 49658102, 62310815, 106070053, 169248587]",1,[630670],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[62310815],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,7,"[630670, 3709715, 5569941, 62310815, 69847110, 85517732, 169248587]",1,[630670],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[630670],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[630670, 690238, 62310815]",2,"[630670, 62310815]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[690238],0,[],0,[],2,
