time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,3,"[1118133, 9380980, 34306412]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[1118133],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1118133, 4757445, 15454257]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1118133],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[1118133, 4757445, 15454257, 17391793]",1,[1118133],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2019-01,top_k,3,degree_centrality_z,6,"[1118133, 4201322, 15454257, 22145215, 25227830, 45642815]",2,"[1118133, 15454257]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2019-07,top_k,3,degree_centrality_z,7,"[1118133, 15454257, 17133963, 25227830, 47180383, 48786488, 51686470]",2,"[1118133, 15454257]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1118133, 1325676, 12606074]",1,[1118133],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2020-07,top_k,3,degree_centrality_z,12,"[152977, 1118133, 4574648, 11890971, 15454257, 18532145, 19707787, 22525811, 32697085, 34911790, 38693111, 39906282]",1,[1118133],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[1118133, 4757445, 22525811, 27893013, 34536352, 58812996]",1,[1118133],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2021-07,top_k,3,degree_centrality_z,30,"[1118133, 1943443, 3027286, 4201322, 4757445, 5232145, 5955886, 7620524, 9530095, 10721645, 11377834, 11800455, 12942779, 17133963, 20180169, 22525811, 23016323, 30542401, 31209297, 32339373, 38693111, 43231974, 52457807, 52685037, 53017425, 58220432, 69658814, 78974280, 88173440, 94952010]",2,"[1118133, 22525811]",1,[22525811],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1118133, 12606074, 37291741]",1,[1118133],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1118133, 1190450, 115150290]",1,[1118133],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1118133, 2689817, 67824037]",1,[1118133],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[1118133, 31991325, 52457807, 80421534]",1,[1118133],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1118133, 58321625, 63645935]",1,[1118133],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1118133, 25744069, 72784862]",1,[1118133],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[1118133, 46186870, 63645935, 100348383, 149482434, 196328911]",1,[1118133],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1118133],1,[1118133],0,[],2,
