time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,5,"[71008, 4967469, 5636705, 7376012, 14060883]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[71008],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[22628, 71008, 477956]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[71008],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[313929, 5636705, 14060883]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[14060883],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[313929, 329822, 425260, 477956, 14060883]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[14060883],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[329822, 425260, 5209952]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[329822],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[313929, 329822, 425260, 14060883]",2,"[329822, 425260]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[425260, 14060883]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[425260, 477956, 5342086]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[477956, 5342086]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,13,"[329822, 477956, 1658936, 2116570, 2783534, 4967469, 5209952, 5342086, 5636705, 14060883, 47485207, 49699333, 112716341]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[14060883],0,[],0,[],2,
