time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,3,"[204153, 2098517, 7797029]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2098517],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[2098517, 5323929, 10894212, 11588598, 25161069]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2098517],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[2098517, 21989288, 45097959, 66705636]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2098517],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[18156, 630613, 2098517, 19615420]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2098517],0,[],0,[],2,
