time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[314716, 614554, 2789820]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2789820],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[311639, 614554, 2789820]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[614554],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[614554, 1963944, 2789820, 6788290, 49699333, 55469175]",2,"[614554, 2789820]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2789820],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[614554, 2789820, 40799217]",2,"[614554, 2789820]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[614554],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[614554, 2090236, 2789820]",2,"[614554, 2789820]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[614554],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[614554, 710707, 799252, 2789820, 6551424]",2,"[614554, 2789820]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[614554],1,[614554],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[314716, 614554, 2789820]",2,"[614554, 2789820]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[2789820],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[314716, 2090236, 2789820]",1,[2789820],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2789820],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[314716, 614554, 2090236, 2789820, 14075922]",2,"[314716, 2789820]",1,[314716],,3
2024-01,z_thresh,3,degree_centrality_z,1,[14075922],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[199813, 2789820, 14075922]",1,[2789820],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[2789820, 14075922]",0,[],0,[],2,
