time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2023-01,top_k,3,degree_centrality_z,3,"[114949949, 121905282, 122484180]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[114949949],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[49699333, 87780794, 114753608, 114949949, 121905282]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[49699333],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[49699333, 87780794, 114949949]",1,[114949949],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[49699333, 87780794]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[49699333, 87780794, 121905282, 173192322]",2,"[49699333, 87780794]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[49699333],1,[49699333],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[49699333, 87780794, 121905282]",2,"[49699333, 87780794]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[49699333],1,[49699333],0,[],2,
