time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[689556, 1043187, 1742451]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[1043187],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[503048, 1043187, 1128750, 1742451, 2454505, 3803621]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1043187],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[1128750, 2354108, 2454505]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[2454505],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[1128750, 2354108, 3803621, 8300986]",1,[1128750],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[2354108, 3803621]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1128750, 2354108, 3803621]",2,"[1128750, 2354108]",1,[1128750],,3
2017-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[2354108, 3803621, 4266945, 5517027]",2,"[2354108, 3803621]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2018-01,top_k,3,degree_centrality_z,7,"[510875, 757572, 2354108, 3803621, 5517027, 5743276, 18632342]",2,"[2354108, 3803621]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[3803621],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[510875, 2354108, 5517027]",2,"[2354108, 5517027]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[2354108, 5517027]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[510875, 888205, 2354108, 3803621, 5517027]",3,"[510875, 2354108, 5517027]",1,[5517027],,3
2019-01,z_thresh,3,degree_centrality_z,1,[510875],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[510875, 591889, 2354108, 15935019]",2,"[510875, 2354108]",1,[510875],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[510875, 2354108]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[2354108, 3803621, 4977422, 49699333]",1,[2354108],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[2354108, 4977422]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[120322, 2354108, 8309411]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[2354108, 8309411]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,11,"[735544, 4257844, 6383741, 12482054, 13108583, 15852820, 15935019, 20084278, 24709732, 38170515, 72472696]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[13108583],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[735544, 3150228, 6383741, 24709732]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[735544],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[764271, 2954424, 76975308]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[764271],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[2954424, 8601555, 78509611, 83967528]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[83967528],0,[],0,[],2,
