time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[82047, 2807888, 88225527]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[2807888],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[2807888, 5170829, 43646571]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2807888],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,9,"[1591974, 2796604, 2807888, 5768993, 5881384, 16599060, 20131783, 43646571, 79954947]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[43646571],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[1591974, 5737899, 5768993, 43646571, 79954947]",1,[43646571],1,[43646571],,3
2024-07,z_thresh,3,degree_centrality_z,1,[43646571],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[59756, 66150, 17379660, 42031100, 79954947]",1,[79954947],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[42031100],0,[],0,[],2,
