time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[1610, 617224, 2581375]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[617224],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[617224, 3184694, 14246141]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[617224],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,6,"[617224, 1810591, 8299106, 17002572, 21247241, 62609061]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[617224],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[617224, 1711272, 3297795, 6169545, 12172656, 29608224]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[617224],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[505328, 617224, 10503588, 30587996, 54004218, 115483027]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[30587996],0,[],0,[],2,
