time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[517598, 5243162, 6321715, 12898484]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[5243162],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[36509, 889442, 5243162, 8655789]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[5243162, 8655789]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1195117, 5243162, 8655789]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1195117],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[5243162, 13059315, 18086180]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[5243162],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[5243162, 8151864, 13262810]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5243162],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1202619, 5243162, 8325827]",1,[5243162],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[5243162],1,[5243162],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[5243162, 7347920, 8325827, 48697408]",1,[5243162],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5243162],1,[5243162],0,[],2,
2022-07,top_k,3,degree_centrality_z,11,"[5243162, 7274321, 25982232, 35728745, 36566080, 40735660, 52064281, 52679095, 58958666, 69700358, 110771834]",1,[5243162],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5243162],1,[5243162],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[5243162, 8813002, 29588249, 52679095, 132136140]",1,[5243162],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5243162],1,[5243162],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,8,"[147713, 2194179, 5243162, 17109060, 25096097, 37031096, 71635054, 159741279]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5243162],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[5243162, 7084871, 45567662]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5243162],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[290045, 5243162, 22480873, 35109373, 50884868]",1,[5243162],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5243162],1,[5243162],0,[],2,
