time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[2132298, 16713520, 25307069]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[25307069],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[3241044, 5467946, 14958503, 25307069]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[25307069],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[3241044, 5467946, 14958503, 25307069]",1,[25307069],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[25307069],1,[25307069],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[1619067, 8465448, 13209176, 18176192, 25307069, 70886343]",1,[25307069],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[25307069],1,[25307069],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[1435346, 8465448, 17157965, 25307069, 99242508]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[25307069],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[2910530, 8465448, 13209176, 17157965, 25307069, 49699333]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[25307069],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[17412730, 20969054, 25307069]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[25307069],0,[],0,[],2,
