time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[1888565, 15648919, 31490812, 37245047]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[15648919],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[15648919, 17748513, 25152803]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[15648919],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[1082157, 6506921, 15648919, 17748513, 23363974]",1,[15648919],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[15648919],1,[15648919],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[3316169, 9832846, 15648919, 57646596]",1,[15648919],1,[15648919],,3
2021-01,z_thresh,3,degree_centrality_z,1,[15648919],1,[15648919],1,[15648919],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[3612771, 25728529, 33383172, 47899095, 73949927]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[3612771],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[1082157, 1383161, 25811225, 59632173, 79245174]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[25811225],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1082157, 9832846, 59632173]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[59632173],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[1386513, 22086433, 77877476, 106722734, 130395881]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[130395881],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[22086433, 137845281, 179595260]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[179595260],0,[],0,[],2,
