time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,4,"[621062, 3845486, 4319330, 4925587]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[3845486],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[102188, 913361, 2354108, 3845486]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[3845486],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[2170120, 2354108, 3845486]",1,[3845486],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1593486, 2354108, 3845486]",2,"[2354108, 3845486]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1593486, 2242042, 3845486]",1,[3845486],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1593486, 2354108, 3845486]",2,"[1593486, 3845486]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2018-07,top_k,3,degree_centrality_z,6,"[1378224, 1593486, 2354108, 3845486, 7348960, 19171023]",2,"[1593486, 3845486]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1593486, 2354108, 3845486]",3,"[1593486, 2354108, 3845486]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1593486],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[136279, 1593486, 3845486]",2,"[1593486, 3845486]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[1593486, 3845486]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[615759, 2354108, 3845486, 8036586]",1,[3845486],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[2354108, 3845486]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[866124, 2354108, 3845486]",1,[3845486],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[2354108, 3845486]",1,[3845486],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[1593486, 2561450, 3845486, 22853562]",1,[3845486],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2354108, 3845486, 14131043]",1,[3845486],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[2354108, 3845486, 14131043]",1,[3845486],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2354108, 2574405, 3845486]",2,"[2354108, 3845486]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[2354108, 3845486, 42296566, 42648441, 42652642]",2,"[2354108, 3845486]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[3845486, 8106527, 90208494]",1,[3845486],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2024-01,top_k,3,degree_centrality_z,10,"[673706, 1473102, 1700075, 3845486, 12089658, 39260951, 62832012, 78855743, 92696830, 153896716]",1,[3845486],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[3845486],1,[3845486],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[3845486, 6992332, 28345176, 39123456]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[3845486, 39123456]",0,[],0,[],2,
