time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,5,"[1190179, 6685128, 8655789, 11547371, 20108097]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[11547371],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[316517, 6061587, 8655789, 11547371]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[11547371],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[8655789, 11547371, 49699333, 65553080]",2,"[8655789, 11547371]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[11547371],1,[11547371],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[4828355, 8655789, 11547371, 52333879, 65553080, 77931008]",2,"[8655789, 11547371]",1,[8655789],,3
2021-01,z_thresh,3,degree_centrality_z,1,[11547371],1,[11547371],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[11547371, 42318067, 49699333, 65553080, 80970519]",2,"[11547371, 65553080]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[11547371],1,[11547371],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[168568, 11547371, 49699333, 65553080]",2,"[11547371, 65553080]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[11547371, 65553080]",1,[11547371],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[1452106, 11547371, 23283069, 49699333, 55558192, 65553080]",3,"[11547371, 49699333, 65553080]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[11547371],1,[11547371],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[11547371, 25333060, 49699333, 65553080]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[11547371, 65553080]",0,[],0,[],2,
