time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,4,"[10785, 1767010, 15214260, 18682762]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[10785],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[10785, 31729, 160042, 1556054]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[10785],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[560676, 632775, 668585]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[560676],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[51059, 1767010, 8438790]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[51059],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[32126, 130003, 701191, 1767010, 2379650]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2379650],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[68902, 1767010, 2379650]",1,[1767010],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2379650],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[67489, 160042, 1767010, 2669116, 15478059]",1,[1767010],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1767010],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[1300022, 2379650, 2991991, 59931607]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2379650],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[179599, 1446274, 1767010, 1774162, 2379650]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1767010],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1337586, 1767010, 3969130]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[3969130],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1767010, 2379650, 17417809]",1,[1767010],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[1767010, 2379650, 17417809]",0,[],0,[],2,
