time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[1278881, 1690574, 3032449]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[3032449],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,12,"[48936, 76971, 567788, 704593, 725286, 740853, 960734, 1681802, 3032449, 3688570, 5129564, 5385472]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[3032449],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[2354108, 3032449, 10620022]",1,[3032449],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2016-07,top_k,3,degree_centrality_z,7,"[38705, 60163, 153288, 2354108, 3032449, 3100053, 11181140]",1,[3032449],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2017-01,top_k,3,degree_centrality_z,6,"[1372957, 3032449, 4060672, 5018339, 14947495, 22180309]",1,[3032449],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2017-07,top_k,3,degree_centrality_z,7,"[96283, 1372957, 3032449, 3882738, 4043932, 12143960, 13958914]",1,[3032449],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[140716, 957494, 1471773, 3032449]",1,[3032449],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[7830, 1033512, 1471773, 3032449, 5324890]",1,[3032449],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[3032449],1,[3032449],0,[],2,
2019-01,top_k,3,degree_centrality_z,10,"[48936, 398939, 3032449, 4598526, 4939404, 12662329, 12775440, 15965947, 23256345, 48773840]",1,[3032449],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[398939, 4939404]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[48936, 332746, 8573267, 60190294]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[60190294],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[1363841, 1820700, 3032449, 26867154]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[3032449],0,[],0,[],2,
