time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[1310570, 4953728, 9305875]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[4953728],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1310570, 4953728, 5157485]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[5157485],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1310570, 4953728, 5157485]",2,"[1310570, 4953728]",1,[1310570],,3
2018-01,z_thresh,3,degree_centrality_z,1,[4953728],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,7,"[990069, 3285313, 4953728, 5157485, 6906411, 10492164, 35232758]",2,"[4953728, 5157485]",1,[5157485],,3
2018-07,z_thresh,3,degree_centrality_z,1,[4953728],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[4764029, 4953728, 8598852, 15626255]",1,[4953728],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[4953728],1,[4953728],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[1163598, 4953728, 22987333, 46742999]",1,[4953728],1,[4953728],,3
2019-07,z_thresh,3,degree_centrality_z,1,[4953728],1,[4953728],1,[4953728],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2382532, 6422482, 22429695]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[6422482, 38207072, 63258281]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[6422482],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[2382532, 6422482, 22429695]",1,[6422482],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6422482],1,[6422482],0,[],2,
