time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,3,"[3339027, 60903512, 65984493]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[3339027],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,9,"[793763, 2242154, 2995544, 3339027, 10194397, 13706192, 32399614, 60903512, 65984493]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[3339027],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[3339027, 59151084, 65984493]",2,"[3339027, 65984493]",1,[65984493],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[3339027, 59151084]",1,[3339027],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[59151084, 85855766, 96149598]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[59151084, 96149598]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[1760143, 3339027, 85855766, 96149598]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[96149598],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[85855766, 96149598, 145612907]",2,"[85855766, 96149598]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[96149598],1,[96149598],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[3339027, 96149598, 145612907]",1,[96149598],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[96149598, 145612907]",1,[96149598],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[13679322, 26262303, 47126816, 95925303, 96149598, 182515430]",1,[96149598],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[96149598],1,[96149598],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[3648225, 13679322, 14912885, 142094872]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[3648225, 13679322]",0,[],0,[],2,
