time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,3,"[33142505, 39627130, 51370125]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[51370125],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[37929162, 40255591, 51370125, 67679556, 75291211]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[40255591],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[40255591, 51370125, 56469371]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[56469371],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[12595343, 51370125, 56469371, 59249785]",1,[51370125],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[51370125, 56469371]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[31589260, 51370125, 56469371]",2,"[51370125, 56469371]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[51370125, 56469371]",1,[56469371],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[31589260, 51370125, 56469371]",2,"[51370125, 56469371]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[56469371],1,[56469371],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[31589260, 51370125, 56469371, 59249785, 81822489]",3,"[31589260, 51370125, 56469371]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[51370125],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[2282099, 31589260, 51370125, 56469371]",3,"[31589260, 51370125, 56469371]",1,[56469371],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[51370125, 56469371]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[31589260, 51370125, 59249785]",2,"[31589260, 51370125]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[51370125],1,[51370125],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[12147173, 31589260, 46207236, 51370125, 59249785, 108672767]",2,"[31589260, 51370125]",1,[31589260],,3
2024-07,z_thresh,3,degree_centrality_z,1,[51370125],1,[51370125],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[35839735, 51370125, 59249785]",2,"[51370125, 59249785]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[51370125],1,[51370125],0,[],2,
