time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,4,"[148640, 425971, 3102758, 30911203]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[148640, 3102758]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[148640, 3102758, 3516360, 17484350]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[3102758, 17484350]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[148640, 3102758, 17484350, 25387009]",2,"[148640, 3102758]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[148640],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[148640, 1690568, 2857188]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[1690568, 2857188]",0,[],0,[],2,
