time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,9,"[1403074, 5253850, 5577137, 6517318, 7378478, 11925282, 22036643, 34708696, 42116998]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[6517318],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[297680, 1403074, 6517318]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[6517318],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[6517318, 13436140, 40846865]",1,[6517318],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6517318],1,[6517318],0,[],2,
2020-07,top_k,3,degree_centrality_z,12,"[1009873, 1331304, 11466975, 11514459, 12198981, 12487598, 13287502, 20486253, 29566012, 34415593, 47692145, 54891577]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[11514459, 54891577]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[6517318, 34289663, 54891577, 76495162]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6517318],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[1103035, 13991298, 42649276, 47113131, 47717830]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[13991298, 47717830]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[4896200, 6517318, 21303438]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[4896200, 6517318, 21303438]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[12503665, 23053387, 28002902, 39005525, 98644797]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[12503665],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,7,"[22893239, 32015651, 38684453, 40664601, 58190042, 86024990, 105269874]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,7,"[22893239, 32015651, 38684453, 40664601, 58190042, 86024990, 105269874]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[5401052, 9306799, 31473581, 56127874, 94062631]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[94062631],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,18,"[1857049, 5577137, 6799189, 13970628, 18207989, 19643524, 19820205, 23239624, 29816816, 33120757, 37969983, 39010495, 49788663, 50726523, 66928091, 79572740, 83909894, 120625228]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1857049],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[33120757, 55131005, 166608664]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[33120757],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2674008, 38290992, 54785661]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[2674008, 38290992, 54785661]",0,[],0,[],2,
