time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[120452, 666291, 775094]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[775094],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[120452, 666291, 775094]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[775094],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[120452, 244656, 2569937]",1,[120452],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[120452],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[120452, 8423731, 10587133, 23340276]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[120452],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[120452, 1679441, 8104244]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[120452],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[120452, 775094, 2870104]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2870104],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[120452, 3587185, 8487728]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[3587185],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[120452, 1563792, 114063253]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[114063253],0,[],0,[],2,
