time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,7,"[72052, 1370289, 2221383, 11303950, 13382426, 23128268, 32403743]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[13382426],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[13382426, 22429695, 23128268, 43144390, 43536018, 45082162, 66242747]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[13382426],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[13382426, 23128268, 69741305]",2,"[13382426, 23128268]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[1213088, 11392207, 13382426, 23128268, 82232642]",2,"[13382426, 23128268]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[429402, 1436271, 4670573, 13382426, 22429695, 43144390]",1,[13382426],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2022-01,top_k,3,degree_centrality_z,8,"[5513838, 13382426, 43144390, 44384395, 56974226, 69489271, 83641841, 83864350]",1,[13382426],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[13382426, 22429695, 43144390, 52245083, 96661912]",2,"[13382426, 43144390]",1,[43144390],,3
2022-07,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[4610125, 13382426, 44179559, 90169211, 115410010]",1,[13382426],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2023-07,top_k,3,degree_centrality_z,15,"[3184210, 3905694, 4868709, 13382426, 13765599, 15977179, 19664862, 22429695, 46321515, 65849429, 71134166, 74864888, 83117848, 138555503, 140444217]",1,[13382426],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[13382426, 22429695, 43668206, 74864888]",1,[13382426],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[9536682, 13382426, 41642326, 176463372]",1,[13382426],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[13382426, 22429695, 43668206]",1,[13382426],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[13382426],1,[13382426],0,[],2,
