time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[3856468, 22308030, 76646757]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[22308030],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[2510755, 22308030, 65553080]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[22308030],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[49093, 989984, 2496042, 9784947, 22308030, 65553080]",1,[22308030],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[22308030],1,[22308030],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[3602323, 22308030, 49197280, 65553080]",2,"[22308030, 65553080]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[22308030],1,[22308030],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[8270271, 22308030, 65553080]",2,"[22308030, 65553080]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[22308030],1,[22308030],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[9465529, 22308030, 65553080]",2,"[22308030, 65553080]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[22308030],1,[22308030],0,[],2,
