time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[10566197, 11316925, 12499095, 74554921]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[11316925],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[11316925, 12499095, 25380596]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[11316925],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[11316925, 66528950, 97082108]",1,[11316925],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[11316925, 97082108]",1,[11316925],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[11316925, 25380596, 66528950]",1,[11316925],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[11316925, 25380596]",1,[11316925],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[11316925, 25380596, 97082108]",1,[11316925],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[11316925],1,[11316925],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[3195154, 11316925, 25380596, 97082108]",2,"[11316925, 25380596]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[11316925, 25380596]",1,[11316925],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[8822079, 11316925, 97082108]",2,"[11316925, 97082108]",1,[11316925],,3
2024-01,z_thresh,3,degree_centrality_z,1,[11316925],1,[11316925],1,[11316925],2,
2024-07,top_k,3,degree_centrality_z,3,"[18424174, 25380596, 97082108]",1,[97082108],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[97082108],0,[],0,[],2,
