time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[8655789, 8875533, 30125107, 36754821]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[8875533],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[8875533, 30125107, 36754821]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[8875533],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[8875533, 30125107, 30606887]",2,"[8875533, 30125107]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,3,"[8875533, 30125107, 30606887]",1,[8875533],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[8875533, 30606887, 47100701, 54053748]",1,[8875533],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,4,"[8875533, 30606887, 47100701, 54053748]",1,[8875533],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[8875533, 30606887, 54053748]",2,"[8875533, 30606887]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,3,"[8875533, 30606887, 54053748]",2,"[8875533, 30606887]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[8875533, 26384082, 30606887]",2,"[8875533, 30606887]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[8875533, 26384082, 30606887]",2,"[8875533, 30606887]",0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[8875533, 26384082, 30606887]",2,"[8875533, 30606887]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,4,"[8875533, 26384082, 30606887, 34680344]",2,"[8875533, 30606887]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[8875533, 30606887, 34680344]",2,"[8875533, 30606887]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[8875533, 30606887]",2,"[8875533, 30606887]",0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[8875533, 26384082, 30606887]",2,"[8875533, 30606887]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[8875533, 30606887]",2,"[8875533, 30606887]",0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[8875533, 26384082, 30606887]",2,"[8875533, 30606887]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[30606887],1,[30606887],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[8875533, 25019880, 30606887]",2,"[8875533, 30606887]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[8875533, 30606887]",1,[30606887],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[25019880, 26384082, 30606887]",1,[30606887],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[25019880, 26384082, 30606887]",1,[30606887],0,[],2,
