time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,3,"[10323446, 41614543, 82871933]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[10323446],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[10323446, 11783908, 48962821, 106930885]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[10323446],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[10323446, 28714394, 28753977, 43552807, 61239770]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[43552807],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[10323446, 11783908, 26260749, 61239770, 74711425]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[10323446],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[10323446, 61239770, 144698076]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[144698076],0,[],0,[],2,
