time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,4,"[5991, 1119169, 2354108, 11229365]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[5991, 2354108]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[110700, 138426, 584352, 2354108, 6702219]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[138426],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[87969, 102694, 138426, 1035294, 1119169]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[102694],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[1119169, 1674433, 2354108, 60190294]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[60190294],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[212972, 1504452, 2354108, 14360953, 60190294]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[60190294],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[212972, 2354108, 10268911, 60190294]",2,"[2354108, 60190294]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[60190294],1,[60190294],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[809590, 2354108, 30392053, 60190294]",2,"[2354108, 60190294]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[60190294],1,[60190294],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[2354108, 4451577, 60190294]",2,"[2354108, 60190294]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[60190294],1,[60190294],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[249779, 684004, 2354108, 60190294]",2,"[2354108, 60190294]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[2354108, 60190294]",1,[60190294],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[2354108, 3770312, 26704802, 60190294, 87313837]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[60190294],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1902806, 60190294, 87313837]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[60190294],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[263494, 608229, 60190294]",1,[60190294],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[60190294],1,[60190294],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[608229, 60190294, 71042708]",1,[60190294],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[60190294],1,[60190294],0,[],2,
