time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,5,"[899716, 2354108, 4534767, 6246622, 6694669]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[6246622],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[899716, 2354108, 6246622]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[2354108, 6246622]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[899716, 1923704, 6246622]",2,"[899716, 6246622]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[899716, 6246622, 7521270]",2,"[899716, 6246622]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[899716, 1923704, 6246622]",2,"[899716, 6246622]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[899716, 6246622, 7521270]",2,"[899716, 6246622]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[899716, 1232444, 6246622, 9260483]",2,"[899716, 6246622]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[899716, 6246622, 8593209, 66745109, 74217042]",2,"[899716, 6246622]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[471835, 899716, 2352402, 6246622, 28857266, 49699333, 74217042]",2,"[899716, 6246622]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2022-07,top_k,3,degree_centrality_z,8,"[2352402, 5085779, 5166083, 6246622, 28857266, 35981278, 43675476, 49699333]",1,[6246622],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[899716, 6246622, 25855759]",1,[6246622],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[349360, 899716, 6246622, 6694669, 49699333]",1,[6246622],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[899716, 6246622, 6694669]",2,"[899716, 6246622]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6246622],1,[6246622],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[899716, 6246622, 6694669]",3,"[899716, 6246622, 6694669]",1,[6694669],,3
2024-07,z_thresh,3,degree_centrality_z,1,[899716],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[899716, 2352402, 6246622, 9260483, 19559721]",2,"[899716, 6246622]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[899716],0,[],0,[],2,
